date,TATN
2007-11-19,138.95
2007-11-20,141.79
2007-11-21,139.98
2007-11-22,137.25
2007-11-23,137.79
2007-11-26,144.7
2007-11-27,141.78
2007-11-28,142.56
2007-11-29,143.2
2007-11-30,145.95
2007-12-03,144.8
2007-12-04,144.9
2007-12-05,151.06
2007-12-06,149.57
2007-12-07,150.23
2007-12-10,152.0
2007-12-11,150.27
2007-12-12,153.25
2007-12-13,150.7
2007-12-14,144.52
2007-12-17,142.55
2007-12-18,144.43
2007-12-19,143.2
2007-12-20,143.99
2007-12-21,143.12
2007-12-24,148.45
2007-12-25,147.2
2007-12-26,146.2
2007-12-27,147.63
2007-12-28,148.0
2008-01-09,154.6
2008-01-10,153.5
2008-01-11,154.22
2008-01-14,158.5
2008-01-15,157.44
2008-01-16,148.5
2008-01-17,147.29
2008-01-18,144.32
2008-01-21,130.3
2008-01-22,125.37
2008-01-23,118.0
2008-01-24,124.75
2008-01-25,131.0
2008-01-28,125.99
2008-01-29,127.12
2008-01-30,123.72
2008-01-31,118.6
2008-02-01,123.3
2008-02-04,124.28
2008-02-05,122.24
2008-02-06,123.71
2008-02-07,119.99
2008-02-08,118.68
2008-02-11,121.48
2008-02-12,125.2
2008-02-13,127.08
2008-02-14,131.1
2008-02-15,129.88
2008-02-18,132.36
2008-02-19,133.0
2008-02-20,135.34
2008-02-21,140.1
2008-02-22,140.0
2008-02-25,140.42
2008-02-26,142.42
2008-02-27,145.46
2008-02-28,149.75
2008-02-29,150.11
2008-03-03,147.29
2008-03-04,150.0
2008-03-05,151.5
2008-03-06,150.46
2008-03-07,145.0
2008-03-11,151.2
2008-03-12,150.22
2008-03-13,150.22
2008-03-14,148.5
2008-03-17,143.0
2008-03-18,147.45
2008-03-19,148.92
2008-03-20,145.95
2008-03-21,144.0
2008-03-24,146.84
2008-03-25,146.0
2008-03-26,150.57
2008-03-27,150.0
2008-03-28,151.31
2008-03-31,152.4
2008-04-01,152.6
2008-04-02,153.37
2008-04-03,151.5
2008-04-04,151.5
2008-04-07,153.57
2008-04-08,150.85
2008-04-09,151.82
2008-04-10,150.51
2008-04-11,144.2
2008-04-14,142.92
2008-04-15,147.79
2008-04-16,149.98
2008-04-17,150.28
2008-04-18,154.0
2008-04-21,153.4
2008-04-22,153.1
2008-04-23,153.91
2008-04-24,151.57
2008-04-25,153.3
2008-04-28,152.84
2008-04-29,152.9
2008-04-30,151.91
2008-05-04,153.45
2008-05-05,152.28
2008-05-06,159.11
2008-05-07,162.7
2008-05-08,169.4
2008-05-12,173.2
2008-05-13,175.5
2008-05-14,182.01
2008-05-15,187.9
2008-05-16,189.13
2008-05-19,187.56
2008-05-20,187.66
2008-05-21,187.3
2008-05-22,186.5
2008-05-23,187.5
2008-05-26,184.04
2008-05-27,182.03
2008-05-28,184.0
2008-05-29,187.17
2008-05-30,189.41
2008-06-02,186.23
2008-06-03,186.91
2008-06-04,179.52
2008-06-05,182.82
2008-06-06,187.45
2008-06-07,183.0
2008-06-09,184.34
2008-06-10,184.01
2008-06-11,184.85
2008-06-16,182.8
2008-06-17,184.0
2008-06-18,183.0
2008-06-19,184.47
2008-06-20,181.8
2008-06-23,182.96
2008-06-24,176.81
2008-06-25,177.67
2008-06-26,177.9
2008-06-27,177.98
2008-06-30,176.26
2008-07-01,167.19
2008-07-02,164.2
2008-07-03,163.7
2008-07-04,161.2
2008-07-07,161.12
2008-07-08,162.89
2008-07-09,164.2
2008-07-10,164.31
2008-07-11,163.3
2008-07-14,166.9
2008-07-15,165.21
2008-07-16,161.4
2008-07-17,164.77
2008-07-18,159.21
2008-07-21,162.04
2008-07-22,158.3
2008-07-23,156.2
2008-07-24,148.8
2008-07-25,144.01
2008-07-28,137.24
2008-07-29,138.25
2008-07-30,141.4
2008-07-31,140.15
2008-08-01,138.5
2008-08-04,137.33
2008-08-05,128.57
2008-08-06,129.99
2008-08-07,136.69
2008-08-08,131.35
2008-08-11,135.61
2008-08-12,139.27
2008-08-13,137.5
2008-08-14,138.2
2008-08-15,143.0
2008-08-18,145.72
2008-08-19,133.99
2008-08-20,133.0
2008-08-21,135.27
2008-08-22,135.09
2008-08-25,126.85
2008-08-26,125.79
2008-08-27,122.3
2008-08-28,127.5
2008-08-29,129.0
2008-09-01,128.39
2008-09-02,126.13
2008-09-03,123.2
2008-09-04,117.81
2008-09-05,114.0
2008-09-08,117.62
2008-09-09,104.0
2008-09-10,104.0
2008-09-11,102.0
2008-09-12,106.9
2008-09-15,96.45
2008-09-16,83.01
2008-09-17,71.99
2008-09-19,100.02
2008-09-22,108.0
2008-09-23,99.7
2008-09-24,103.7
2008-09-25,102.9
2008-09-26,104.5
2008-09-29,98.0
2008-09-30,90.45
2008-10-01,88.5
2008-10-02,83.0
2008-10-03,78.0
2008-10-06,65.37
2008-10-07,63.2
2008-10-08,57.9
2008-10-09,57.1
2008-10-13,52.2
2008-10-14,53.2
2008-10-15,47.11
2008-10-16,37.71
2008-10-17,32.61
2008-10-20,33.8
2008-10-21,37.3
2008-10-22,34.4
2008-10-23,33.68
2008-10-24,27.94
2008-10-28,27.5
2008-10-29,33.5
2008-10-30,40.74
2008-10-31,
2008-11-01,53.48
2008-11-05,
2008-11-06,50.61
2008-11-07,54.2
2008-11-10,57.8
2008-11-11,51.0
2008-11-13,43.0
2008-11-14,46.0
2008-11-17,44.0
2008-11-18,46.96
2008-11-19,42.64
2008-11-20,37.68
2008-11-21,37.16
2008-11-24,43.85
2008-11-25,43.0
2008-11-26,43.3
2008-11-27,47.47
2008-11-28,46.2
2008-12-01,42.0
2008-12-02,47.21
2008-12-03,50.8
2008-12-04,48.0
2008-12-05,45.2
2008-12-08,51.98
2008-12-09,51.06
2008-12-10,54.81
2008-12-11,55.18
2008-12-12,52.2
2008-12-15,58.5
2008-12-16,60.38
2008-12-17,60.2
2008-12-18,59.0
2008-12-19,60.0
2008-12-22,60.05
2008-12-23,60.67
2008-12-24,57.95
2008-12-25,54.78
2008-12-26,53.1
2008-12-29,54.2
2008-12-30,56.0
2008-12-31,55.25
2009-01-11,55.79
2009-01-12,57.42
2009-01-13,57.69
2009-01-14,51.99
2009-01-15,49.92
2009-01-16,50.5
2009-01-19,49.75
2009-01-20,50.77
2009-01-21,53.48
2009-01-22,51.5
2009-01-23,50.9
2009-01-26,55.09
2009-01-27,53.39
2009-01-28,54.3
2009-01-29,57.2
2009-01-30,58.99
2009-02-02,60.0
2009-02-03,59.5
2009-02-04,58.7
2009-02-05,56.56
2009-02-06,60.75
2009-02-09,69.0
2009-02-10,70.3
2009-02-11,71.5
2009-02-12,70.49
2009-02-13,76.09
2009-02-16,75.08
2009-02-17,68.31
2009-02-18,65.79
2009-02-19,67.28
2009-02-20,64.64
2009-02-24,63.64
2009-02-25,63.3
2009-02-26,68.93
2009-02-27,66.81
2009-03-02,63.5
2009-03-03,63.25
2009-03-04,68.3
2009-03-05,69.38
2009-03-06,74.18
