Ticker,LKOH,LKOH,LKOH,LKOH,LKOH,LKOH,ROSN,ROSN,ROSN,ROSN,ROSN,ROSN,SIBN,SIBN,SIBN,SIBN,SIBN,SIBN,SNGS,SNGS,SNGS,SNGS,SNGS,SNGS,TATN,TATN,TATN,TATN,TATN,TATN
Indicator,open,close,high,low,volume,volume,open,close,high,low,volume,volume,open,close,high,low,volume,volume,open,close,high,low,volume,volume,open,close,high,low,volume,volume
date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-08-14,2879.5,2883.5,2912.5,2872.0,1057071583.0,365787,305.35,305.0,306.7,303.6,523587792.0,1715580.0,206.1,205.55,208.55,204.9,28353727.5,136830.0,26.4,26.215,26.545,26.215,243787406.5,9223100,381.4,377.0,382.65,377.0,414353129.5,1092450.0
2017-08-15,2875.0,2874.0,2888.0,2846.5,1447317402.5,504860,305.0,304.9,306.05,302.0,507061599.0,1668360.0,205.55,204.5,206.45,204.1,10746278.0,52390.0,26.25,26.535,26.535,26.21,198627067.5,7529100,377.3,377.35,378.65,373.15,205575379.0,547060.0
2017-08-16,2885.0,2846.5,2894.0,2842.0,1347811130.5,469112,305.65,302.05,306.8,300.85,577386693.0,1900130.0,205.0,206.3,207.1,204.6,11374417.5,55340.0,26.535,26.315,26.59,26.195,167413388.0,6343000,378.3,379.25,383.7,377.3,349034489.0,916520.0
2017-08-17,2847.0,2841.0,2862.5,2841.0,1073100589.5,376579,301.65,301.75,308.05,300.45,1586736392.5,5225750.0,207.0,205.8,207.85,205.25,18715602.0,90600.0,26.23,26.59,26.83,26.115,392021648.5,14748100,378.2,381.5,383.6,377.15,260296821.5,682690.0
2017-08-18,2835.5,2829.0,2842.0,2803.5,1340547245.5,475687,300.95,300.05,302.6,299.0,739164558.5,2457180.0,207.0,208.9,209.4,203.6,29903414.5,144730.0,26.455,26.39,26.69,26.155,296206517.5,11230100,380.0,380.95,384.3,374.6,316452863.5,833080.0
2017-08-21,2831.0,2854.5,2862.0,2824.0,1056254391.5,371041,301.3,301.1,302.0,299.05,626099343.0,2083520.0,209.8,210.2,210.2,209.0,18728331.0,89450.0,26.49,26.34,26.535,26.185,227864814.5,8638200,380.5,375.5,383.1,373.3,311452582.0,825190.0
2017-08-22,2860.0,2897.0,2897.0,2835.0,1467589782.5,511325,301.5,300.95,303.6,300.25,700765738.0,2321990.0,210.55,209.8,212.05,208.5,29967379.5,142730.0,26.44,26.48,26.565,26.355,127245384.5,4807900,376.0,381.25,381.9,375.7,181563739.0,479710.0
2017-08-23,2890.0,2893.5,2893.5,2860.0,1264827979.0,440121,300.9,303.2,303.75,297.9,885139128.0,2944650.0,211.6,205.45,211.85,204.55,44908420.0,216720.0,26.535,26.74,26.8,26.415,298531397.5,11195700,380.0,382.15,383.35,377.25,316344405.5,830950.0
2017-08-24,2889.0,2894.0,2903.5,2867.5,922493171.5,319413,303.1,301.0,304.3,299.55,592174781.0,1962230.0,206.0,203.5,206.15,203.0,75202903.5,368030.0,26.73,26.895,26.895,26.53,175790883.5,6575700,383.15,383.2,383.8,380.4,209413136.0,547680.0
2017-08-25,2910.0,2915.0,2940.0,2897.0,889696855.5,305830,301.2,301.5,303.25,300.55,617276748.5,2046400.0,204.0,206.65,206.85,203.9,22742434.5,110860.0,26.8,26.68,26.94,26.42,311258301.5,11665600,384.45,385.5,386.7,382.5,361039072.0,939430.0
